date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260201,600667,太极实业,2,1122,1000,102,3568081,3910427538,843,1706,3984,164,1,1122,1036,1036,1020,271,2
20260201,600354,敦煌种业,2,792,1000,72,1522306,1184421063,1069,2884,8422,302,1,792,715,720,720,607,2
20260201,002009,天奇股份,2,2838,1000,258,949131,2581394828.37,1151,2680,12740,113,0,2838,2541,2541,2580,570,2
20260201,000798,中水渔业,2,1155,1000,105,521796,588166607.87,771,1426,5934,404,0,1155,1074,1075,1050,1032,2
20260201,603861,白云电器,2,1662,999,151,367580,593141664,1052,695,4535,124,1,1662,1503,1512,1511,225,2
20260201,603331,百达精工,2,1563,999,142,316933,474508516,1147,1568,3967,95,1,1563,1400,1407,1421,238,2
20260201,002165,红 宝 丽,2,1277,999,116,2640157,3187536042.51,1499,3628,18798,106,0,1277,1103,1123,1161,459,2
20260201,600487,亨通光电,2,3501,999,318,1762707,5917296931,946,721,2726,96,1,3501,3200,3200,3183,281,2
20260201,605151,西上海,2,2290,999,208,55107,122493621,1201,410,268638,262,1,2290,2040,2092,2082,226,2
20260201,002155,湖南黄金,2,3700,999,336,3644098,13414327742.5,297,2332,4215,2204,0,3700,3600,3700,3364,758,2
20260201,601208,东材科技,2,2842,998,258,879584,2408364251,1014,871,7610,138,1,2842,2580,2585,2584,485,2
20260201,002830,名雕股份,2,2325,998,211,61284,137401025.5,1159,917,14619,123,0,2325,2080,2100,2114,475,2
20260201,002137,实益达,2,1014,998,92,471578,453539194.29,1052,1189,14491,183,0,1014,917,928,922,387,2
20260201,002455,百川股份,2,959,998,87,1182377,1119076263.16,654,2277,88922,201,0,959,902,926,872,327,2
20260201,603618,杭电股份,2,904,998,82,499801,426936844,1375,723,-2137,141,1,904,791,819,822,230,2
20260201,600330,天通股份,2,1356,998,123,1408794,1829205129,1249,1142,21885,143,1,1356,1202,1231,1233,209,2
20260201,603010,万盛股份,2,1213,997,110,274324,315961912,1151,465,10708,170,1,1213,1086,1101,1103,198,2
20260201,600084,中信尼雅,2,728,997,66,199743,145339331,227,178,4103884,228,1,728,713,728,662,632,2
20260201,600313,农发种业,2,883,996,80,2606896,2258730285,1096,2409,11563,223,1,883,795,803,803,484,2
20260201,002491,通鼎互联,2,785,994,71,2122552,1535078257.32,1989,1804,-11061,163,0,785,643,679,714,389,2
20260201,688737,中自科技,2,2781,992,251,72559,195707654,1439,607,-9253,219,1,2883,2519,2530,2530,185,2
20260201,300863,卡倍亿,2,6044,989,544,87119,514359732.71,1089,482,6202,156,0,6087,5488,5507,5500,796,2
20260201,301205,联特科技,2,22300,985,2000,162434,3589999534.7,1356,2390,26529,144,0,22990,20238,20238,20300,1824,2
20260201,688212,澳华内镜,2,4627,977,412,70253,325919427,795,522,-8331,437,1,4798,4463,4463,4215,500,2
20260201,688766,普冉股份,2,30600,964,2690,108191,3272751390,965,731,57541,106,1,31494,28800,29000,27910,1993,2
20260201,301396,宏景科技,2,11188,959,979,236349,2635325229.88,1390,3107,11981,103,0,11640,10221,10410,10209,1332,2
20260201,920045,蘅东光,2,36286,956,3166,33514,1188700475.41,1857,1665,8267,190,0,38700,32551,32551,33120,2469,2
20260201,688785,C恒运昌,2,41734,954,3634,43077,1684950377,1418,3385,23140,57,1,41734,36330,36525,38100,1292,2
20260201,300721,怡达股份,2,1754,935,150,351021,583078872.71,2001,2537,-2414,156,0,1868,1547,1570,1604,256,2
20260201,688411,海博思创,2,23852,910,1989,79845,1865966965,1224,602,5175,152,1,24407,21730,21782,21863,959,2
20260201,688796,百奥赛图,2,7259,903,601,57675,424573326,1633,1607,21319,208,1,7875,6788,6788,6658,1530,2
20260201,301336,趣睡科技,2,6055,892,496,50119,297346530.34,1097,1647,8398,324,0,6135,5525,5530,5559,292,2
20260201,600499,科达制造,2,1769,879,143,1414509,2428696566,978,738,2214,329,1,1789,1630,1644,1626,270,2
20260201,600916,中国黄金,2,1468,874,118,4766524,6642191301,1889,2837,5523,382,1,1485,1230,1325,1350,343,2
20260201,300528,幸福蓝海,2,2229,873,179,412939,912487415.2,1561,1108,-151261,254,0,2350,2030,2048,2050,1572,2
20260201,600963,岳阳林纸,2,574,871,46,2016277,1122418797,1155,1147,4668,231,1,581,520,529,528,126,2
20260201,688195,腾景科技,2,20600,871,1650,90648,1803637697,1216,701,31323,96,1,20960,18656,18800,18950,2759,2
20260201,603163,圣晖集成,2,11085,868,885,66931,733752090,1294,669,8692,118,1,11220,9900,9977,10200,996,2
20260201,600356,恒丰纸业,2,985,824,75,232086,221557918,659,777,1488,492,1,988,928,935,910,110,2
20260201,688210,统联精密,2,6100,823,464,111370,661212560,1331,688,128624,123,1,6250,5500,5690,5636,752,2
20260201,603926,铁流股份,2,2636,799,195,141200,357974197,1200,612,6075,95,1,2668,2375,2424,2441,358,2
20260201,300016,北陆药业,2,979,794,72,821931,822035255.1,904,1462,9355,392,0,1032,950,950,907,249,2
20260201,920438,戈碧迦,2,4972,792,365,107716,518603242.56,1383,773,24829,113,0,5057,4420,4485,4607,726,2
20260201,688017,绿的谐波,2,22900,778,1654,147291,3267485728,1735,803,33616,149,1,24198,20512,21296,21246,1197,2
20260201,688155,先惠技术,2,9300,778,671,65631,601754730,1070,519,4295,125,1,9550,8627,8627,8629,546,2
20260201,301326,捷邦科技,2,12315,775,886,32692,391519230.27,1240,1197,-53399,117,0,12619,11202,11315,11429,698,2
20260201,002837,英维克,2,10699,769,764,860329,8982652186.68,1038,1012,19636,195,0,10731,9700,9700,9935,3154,2
20260201,300700,岱勒新材,2,1432,767,102,247578,345358323.41,880,915,-4426,158,0,1440,1323,1329,1330,653,2
