date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,300460,ST惠伦,2,821,12,1,51428,42302006.6,268,183,-2271,65,0,836,814,815,820,413,220260131,300460,ST惠伦,2,821,12,1,51428,42302006.6,268,183,-2271,65,0,836,814,815,820,413,2
20260201,300460,ST惠伦,2,821,12,1,51428,42302006.6,268,183,-2271,65,0,836,814,815,820,413,2
20260201,300460,ST惠伦,2,821,12,1,51428,42302006.6,268,183,-2271,65,0,836,814,815,820,413,2
20260201,300460,ST惠伦,2,821,12,1,51428,42302006.6,268,183,-2271,65,0,836,814,815,820,413,2
20260201,300460,ST惠伦,2,821,12,1,51428,42302006.6,268,183,-2271,65,0,836,814,815,820,413,2
