date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,002674,兴业科技,2,1398,108,15,39015,54011637,383,133,7814,78,0,1405,1352,1372,1383,172,220260131,002674,兴业科技,2,1398,108,15,39015,54011637,383,133,7814,78,0,1405,1352,1372,1383,172,2
20260131,002674,兴业科技,2,1398,108,15,39015,54011637,383,133,7814,78,0,1405,1352,1372,1383,172,2
20260201,002674,兴业科技,2,1398,108,15,39015,54011637,383,133,7814,78,0,1405,1352,1372,1383,172,2
20260201,002674,兴业科技,2,1398,108,15,39015,54011637,383,133,7814,78,0,1405,1352,1372,1383,172,2
20260201,002674,兴业科技,2,1398,108,15,39015,54011637,383,133,7814,78,0,1405,1352,1372,1383,172,2
20260201,002674,兴业科技,2,1398,108,15,39015,54011637,383,133,7814,78,0,1405,1352,1372,1383,172,2
