date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,688690,纳微科技,2,2826,-35,-10,54308,152492517,434,134,7942,84,1,2878,2755,2831,2836,609,2
20260131,688690,纳微科技,2,2826,-35,-10,54308,152492517,434,134,7942,84,1,2878,2755,2831,2836,609,220260131,688690,纳微科技,2,2826,-35,-10,54308,152492517,434,134,7942,84,1,2878,2755,2831,2836,609,2
20260201,688690,纳微科技,2,2826,-35,-10,54308,152492517,434,134,7942,84,1,2878,2755,2831,2836,609,2
20260201,688690,纳微科技,2,2826,-35,-10,54308,152492517,434,134,7942,84,1,2878,2755,2831,2836,609,2
20260201,688690,纳微科技,2,2826,-35,-10,54308,152492517,434,134,7942,84,1,2878,2755,2831,2836,609,2
20260201,688690,纳微科技,2,2826,-35,-10,54308,152492517,434,134,7942,84,1,2878,2755,2831,2836,609,2
