date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,300063,天龙集团,2,1645,-419,-72,1960966,3235015008.23,815,3130,8437,107,0,1710,1570,1628,1717,717,220260131,300063,天龙集团,2,1645,-419,-72,1960966,3235015008.23,815,3130,8437,107,0,1710,1570,1628,1717,717,2
20260131,300063,天龙集团,2,1645,-419,-72,1960966,3235015008.23,815,3130,8437,107,0,1710,1570,1628,1717,717,2
20260201,300063,天龙集团,2,1645,-419,-72,1960966,3235015008.23,815,3130,8437,107,0,1710,1570,1628,1717,717,2
20260201,300063,天龙集团,2,1645,-419,-72,1960966,3235015008.23,815,3130,8437,107,0,1710,1570,1628,1717,717,2
20260201,300063,天龙集团,2,1645,-419,-72,1960966,3235015008.23,815,3130,8437,107,0,1710,1570,1628,1717,717,2
20260201,300063,天龙集团,2,1645,-419,-72,1960966,3235015008.23,815,3130,8437,107,0,1710,1570,1628,1717,717,2
