date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,002307,北新路桥,2,501,-99,-5,484211,243346188.4,415,382,-6309,81,0,515,494,506,506,184,220260131,002307,北新路桥,2,501,-99,-5,484211,243346188.4,415,382,-6309,81,0,515,494,506,506,184,2
20260131,002307,北新路桥,2,501,-99,-5,484211,243346188.4,415,382,-6309,81,0,515,494,506,506,184,2
20260201,002307,北新路桥,2,501,-99,-5,484211,243346188.4,415,382,-6309,81,0,515,494,506,506,184,2
20260201,002307,北新路桥,2,501,-99,-5,484211,243346188.4,415,382,-6309,81,0,515,494,506,506,184,2
20260201,002307,北新路桥,2,501,-99,-5,484211,243346188.4,415,382,-6309,81,0,515,494,506,506,184,2
20260201,002307,北新路桥,2,501,-99,-5,484211,243346188.4,415,382,-6309,81,0,515,494,506,506,184,2
