date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,000605,渤海股份,2,713,157,11,67285,47605487.79,256,191,14285,128,0,714,696,697,702,118,220260131,000605,渤海股份,2,713,157,11,67285,47605487.79,256,191,14285,128,0,714,696,697,702,118,2
20260131,000605,渤海股份,2,713,157,11,67285,47605487.79,256,191,14285,128,0,714,696,697,702,118,2
20260201,000605,渤海股份,2,713,157,11,67285,47605487.79,256,191,14285,128,0,714,696,697,702,118,2
20260201,000605,渤海股份,2,713,157,11,67285,47605487.79,256,191,14285,128,0,714,696,697,702,118,2
20260201,000605,渤海股份,2,713,157,11,67285,47605487.79,256,191,14285,128,0,714,696,697,702,118,2
20260201,000605,渤海股份,2,713,157,11,67285,47605487.79,256,191,14285,128,0,714,696,697,702,118,2
