date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,603789,*ST星农,2,582,-17,-1,39565,22976467,326,152,-1800,74,1,590,571,585,583,911,220260131,603789,*ST星农,2,582,-17,-1,39565,22976467,326,152,-1800,74,1,590,571,585,583,911,2
20260201,603789,*ST星农,2,582,-17,-1,39565,22976467,326,152,-1800,74,1,590,571,585,583,911,2
20260201,603789,*ST星农,2,582,-17,-1,39565,22976467,326,152,-1800,74,1,590,571,585,583,911,2
20260201,603789,*ST星农,2,582,-17,-1,39565,22976467,326,152,-1800,74,1,590,571,585,583,911,2
20260201,603789,*ST星农,2,582,-17,-1,39565,22976467,326,152,-1800,74,1,590,571,585,583,911,2
