date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,688359,三孚新科,2,7550,508,365,54458,406446460,862,554,-19169,207,1,7644,7025,7079,7185,1180,220260131,688359,三孚新科,2,7550,508,365,54458,406446460,862,554,-19169,207,1,7644,7025,7079,7185,1180,2
20260201,688359,三孚新科,2,7550,508,365,54458,406446460,862,554,-19169,207,1,7644,7025,7079,7185,1180,2
20260201,688359,三孚新科,2,7550,508,365,54458,406446460,862,554,-19169,207,1,7644,7025,7079,7185,1180,2
20260201,688359,三孚新科,2,7550,508,365,54458,406446460,862,554,-19169,207,1,7644,7025,7079,7185,1180,2
20260201,688359,三孚新科,2,7550,508,365,54458,406446460,862,554,-19169,207,1,7644,7025,7079,7185,1180,2
