date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,002348,高乐股份,2,604,83,5,209785,125929497.02,484,232,-36760,58,0,612,583,596,599,1285,220260131,002348,高乐股份,2,604,83,5,209785,125929497.02,484,232,-36760,58,0,612,583,596,599,1285,2
20260131,002348,高乐股份,2,604,83,5,209785,125929497.02,484,232,-36760,58,0,612,583,596,599,1285,2
20260201,002348,高乐股份,2,604,83,5,209785,125929497.02,484,232,-36760,58,0,612,583,596,599,1285,2
20260201,002348,高乐股份,2,604,83,5,209785,125929497.02,484,232,-36760,58,0,612,583,596,599,1285,2
20260201,002348,高乐股份,2,604,83,5,209785,125929497.02,484,232,-36760,58,0,612,583,596,599,1285,2
20260201,002348,高乐股份,2,604,83,5,209785,125929497.02,484,232,-36760,58,0,612,583,596,599,1285,2
