date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,002986,宇新股份,2,1253,138,17,94910,118557240.1,494,314,-5574,130,0,1284,1223,1230,1236,124,220260131,002986,宇新股份,2,1253,138,17,94910,118557240.1,494,314,-5574,130,0,1284,1223,1230,1236,124,2
20260131,002986,宇新股份,2,1253,138,17,94910,118557240.1,494,314,-5574,130,0,1284,1223,1230,1236,124,2
20260201,002986,宇新股份,2,1253,138,17,94910,118557240.1,494,314,-5574,130,0,1284,1223,1230,1236,124,2
20260201,002986,宇新股份,2,1253,138,17,94910,118557240.1,494,314,-5574,130,0,1284,1223,1230,1236,124,2
20260201,002986,宇新股份,2,1253,138,17,94910,118557240.1,494,314,-5574,130,0,1284,1223,1230,1236,124,2
20260201,002986,宇新股份,2,1253,138,17,94910,118557240.1,494,314,-5574,130,0,1284,1223,1230,1236,124,2
