date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,000681,视觉中国,2,2635,-186,-50,688879,1828023978.76,317,1019,18631,62,0,2705,2620,2685,2685,509,220260131,000681,视觉中国,2,2635,-186,-50,688879,1828023978.76,317,1019,18631,62,0,2705,2620,2685,2685,509,2
20260131,000681,视觉中国,2,2635,-186,-50,688879,1828023978.76,317,1019,18631,62,0,2705,2620,2685,2685,509,2
20260201,000681,视觉中国,2,2635,-186,-50,688879,1828023978.76,317,1019,18631,62,0,2705,2620,2685,2685,509,2
20260201,000681,视觉中国,2,2635,-186,-50,688879,1828023978.76,317,1019,18631,62,0,2705,2620,2685,2685,509,2
20260201,000681,视觉中国,2,2635,-186,-50,688879,1828023978.76,317,1019,18631,62,0,2705,2620,2685,2685,509,2
20260201,000681,视觉中国,2,2635,-186,-50,688879,1828023978.76,317,1019,18631,62,0,2705,2620,2685,2685,509,2
