date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,000600,建投能源,2,873,92,8,232519,202089138.55,289,213,746,76,0,879,854,864,865,135,220260131,000600,建投能源,2,873,92,8,232519,202089138.55,289,213,746,76,0,879,854,864,865,135,2
20260131,000600,建投能源,2,873,92,8,232519,202089138.55,289,213,746,76,0,879,854,864,865,135,2
20260201,000600,建投能源,2,873,92,8,232519,202089138.55,289,213,746,76,0,879,854,864,865,135,2
20260201,000600,建投能源,2,873,92,8,232519,202089138.55,289,213,746,76,0,879,854,864,865,135,2
20260201,000600,建投能源,2,873,92,8,232519,202089138.55,289,213,746,76,0,879,854,864,865,135,2
20260201,000600,建投能源,2,873,92,8,232519,202089138.55,289,213,746,76,0,879,854,864,865,135,2
