date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,002301,齐心集团,2,780,-394,-32,412480,327108689.55,406,574,3005,130,0,810,777,795,812,179,220260131,002301,齐心集团,2,780,-394,-32,412480,327108689.55,406,574,3005,130,0,810,777,795,812,179,2
20260131,002301,齐心集团,2,780,-394,-32,412480,327108689.55,406,574,3005,130,0,810,777,795,812,179,2
20260201,002301,齐心集团,2,780,-394,-32,412480,327108689.55,406,574,3005,130,0,810,777,795,812,179,2
20260201,002301,齐心集团,2,780,-394,-32,412480,327108689.55,406,574,3005,130,0,810,777,795,812,179,2
20260201,002301,齐心集团,2,780,-394,-32,412480,327108689.55,406,574,3005,130,0,810,777,795,812,179,2
20260201,002301,齐心集团,2,780,-394,-32,412480,327108689.55,406,574,3005,130,0,810,777,795,812,179,2
