date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,600272,开开实业,2,1372,-101,-14,40304,55355242,209,252,21003,64,1,1391,1362,1385,1386,464,220260131,600272,开开实业,2,1372,-101,-14,40304,55355242,209,252,21003,64,1,1391,1362,1385,1386,464,2
20260201,600272,开开实业,2,1372,-101,-14,40304,55355242,209,252,21003,64,1,1391,1362,1385,1386,464,2
20260201,600272,开开实业,2,1372,-101,-14,40304,55355242,209,252,21003,64,1,1391,1362,1385,1386,464,2
20260201,600272,开开实业,2,1372,-101,-14,40304,55355242,209,252,21003,64,1,1391,1362,1385,1386,464,2
20260201,600272,开开实业,2,1372,-101,-14,40304,55355242,209,252,21003,64,1,1391,1362,1385,1386,464,2
