date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,000027,深圳能源,2,680,-29,-2,270622,183011142.3,279,57,1235,94,0,685,666,681,682,99,220260131,000027,深圳能源,2,680,-29,-2,270622,183011142.3,279,57,1235,94,0,685,666,681,682,99,2
20260131,000027,深圳能源,2,680,-29,-2,270622,183011142.3,279,57,1235,94,0,685,666,681,682,99,2
20260201,000027,深圳能源,2,680,-29,-2,270622,183011142.3,279,57,1235,94,0,685,666,681,682,99,2
20260201,000027,深圳能源,2,680,-29,-2,270622,183011142.3,279,57,1235,94,0,685,666,681,682,99,2
20260201,000027,深圳能源,2,680,-29,-2,270622,183011142.3,279,57,1235,94,0,685,666,681,682,99,2
20260201,000027,深圳能源,2,680,-29,-2,270622,183011142.3,279,57,1235,94,0,685,666,681,682,99,2
