date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,002892,科力尔,2,1260,48,6,116362,146169866.38,399,241,15519,72,0,1285,1235,1259,1254,720,220260131,002892,科力尔,2,1260,48,6,116362,146169866.38,399,241,15519,72,0,1285,1235,1259,1254,720,2
20260131,002892,科力尔,2,1260,48,6,116362,146169866.38,399,241,15519,72,0,1285,1235,1259,1254,720,2
20260201,002892,科力尔,2,1260,48,6,116362,146169866.38,399,241,15519,72,0,1285,1235,1259,1254,720,2
20260201,002892,科力尔,2,1260,48,6,116362,146169866.38,399,241,15519,72,0,1285,1235,1259,1254,720,2
20260201,002892,科力尔,2,1260,48,6,116362,146169866.38,399,241,15519,72,0,1285,1235,1259,1254,720,2
20260201,002892,科力尔,2,1260,48,6,116362,146169866.38,399,241,15519,72,0,1285,1235,1259,1254,720,2
