date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,603833,欧派家居,2,6135,-159,-99,39595,243656030,318,65,1530,92,1,6266,6068,6206,6234,197,220260131,603833,欧派家居,2,6135,-159,-99,39595,243656030,318,65,1530,92,1,6266,6068,6206,6234,197,2
20260201,603833,欧派家居,2,6135,-159,-99,39595,243656030,318,65,1530,92,1,6266,6068,6206,6234,197,2
20260201,603833,欧派家居,2,6135,-159,-99,39595,243656030,318,65,1530,92,1,6266,6068,6206,6234,197,2
20260201,603833,欧派家居,2,6135,-159,-99,39595,243656030,318,65,1530,92,1,6266,6068,6206,6234,197,2
20260201,603833,欧派家居,2,6135,-159,-99,39595,243656030,318,65,1530,92,1,6266,6068,6206,6234,197,2
