date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,002714,牧原股份,2,4600,-71,-33,913336,4288734117.37,412,240,1275,160,0,4779,4588,4610,4633,331,220260131,002714,牧原股份,2,4600,-71,-33,913336,4288734117.37,412,240,1275,160,0,4779,4588,4610,4633,331,2
20260131,002714,牧原股份,2,4600,-71,-33,913336,4288734117.37,412,240,1275,160,0,4779,4588,4610,4633,331,2
20260201,002714,牧原股份,2,4600,-71,-33,913336,4288734117.37,412,240,1275,160,0,4779,4588,4610,4633,331,2
20260201,002714,牧原股份,2,4600,-71,-33,913336,4288734117.37,412,240,1275,160,0,4779,4588,4610,4633,331,2
20260201,002714,牧原股份,2,4600,-71,-33,913336,4288734117.37,412,240,1275,160,0,4779,4588,4610,4633,331,2
20260201,002714,牧原股份,2,4600,-71,-33,913336,4288734117.37,412,240,1275,160,0,4779,4588,4610,4633,331,2
