date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,920128,胜业电气,2,2760,-282,-80,8318,23305257.08,320,218,8642,92,0,2851,2760,2822,2840,435,2
20260131,920128,胜业电气,2,2760,-282,-80,8318,23305257.08,320,218,8642,92,0,2851,2760,2822,2840,435,220260131,920128,胜业电气,2,2760,-282,-80,8318,23305257.08,320,218,8642,92,0,2851,2760,2822,2840,435,2
20260201,920128,胜业电气,2,2760,-282,-80,8318,23305257.08,320,218,8642,92,0,2851,2760,2822,2840,435,2
20260201,920128,胜业电气,2,2760,-282,-80,8318,23305257.08,320,218,8642,92,0,2851,2760,2822,2840,435,2
20260201,920128,胜业电气,2,2760,-282,-80,8318,23305257.08,320,218,8642,92,0,2851,2760,2822,2840,435,2
20260201,920128,胜业电气,2,2760,-282,-80,8318,23305257.08,320,218,8642,92,0,2851,2760,2822,2840,435,2
