date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,000039,中集集团,2,966,52,5,555543,531850978.36,395,241,2495,135,0,975,937,964,961,107,220260131,000039,中集集团,2,966,52,5,555543,531850978.36,395,241,2495,135,0,975,937,964,961,107,2
20260131,000039,中集集团,2,966,52,5,555543,531850978.36,395,241,2495,135,0,975,937,964,961,107,2
20260201,000039,中集集团,2,966,52,5,555543,531850978.36,395,241,2495,135,0,975,937,964,961,107,2
20260201,000039,中集集团,2,966,52,5,555543,531850978.36,395,241,2495,135,0,975,937,964,961,107,2
20260201,000039,中集集团,2,966,52,5,555543,531850978.36,395,241,2495,135,0,975,937,964,961,107,2
20260201,000039,中集集团,2,966,52,5,555543,531850978.36,395,241,2495,135,0,975,937,964,961,107,2
