date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,002624,完美世界,2,1884,37,7,490743,915563030.89,416,268,4119,107,0,1900,1822,1879,1877,516,220260131,002624,完美世界,2,1884,37,7,490743,915563030.89,416,268,4119,107,0,1900,1822,1879,1877,516,2
20260131,002624,完美世界,2,1884,37,7,490743,915563030.89,416,268,4119,107,0,1900,1822,1879,1877,516,2
20260201,002624,完美世界,2,1884,37,7,490743,915563030.89,416,268,4119,107,0,1900,1822,1879,1877,516,2
20260201,002624,完美世界,2,1884,37,7,490743,915563030.89,416,268,4119,107,0,1900,1822,1879,1877,516,2
20260201,002624,完美世界,2,1884,37,7,490743,915563030.89,416,268,4119,107,0,1900,1822,1879,1877,516,2
20260201,002624,完美世界,2,1884,37,7,490743,915563030.89,416,268,4119,107,0,1900,1822,1879,1877,516,2
