date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,000521,长虹美菱,2,665,30,2,147531,98053112.05,166,168,1052,118,0,669,658,661,663,110,220260131,000521,长虹美菱,2,665,30,2,147531,98053112.05,166,168,1052,118,0,669,658,661,663,110,2
20260131,000521,长虹美菱,2,665,30,2,147531,98053112.05,166,168,1052,118,0,669,658,661,663,110,2
20260201,000521,长虹美菱,2,665,30,2,147531,98053112.05,166,168,1052,118,0,669,658,661,663,110,2
20260201,000521,长虹美菱,2,665,30,2,147531,98053112.05,166,168,1052,118,0,669,658,661,663,110,2
20260201,000521,长虹美菱,2,665,30,2,147531,98053112.05,166,168,1052,118,0,669,658,661,663,110,2
20260201,000521,长虹美菱,2,665,30,2,147531,98053112.05,166,168,1052,118,0,669,658,661,663,110,2
