date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,300152,ST新动力,2,211,144,3,186728,39325356,385,262,-15597,81,0,214,206,208,208,639,220260131,300152,ST新动力,2,211,144,3,186728,39325356,385,262,-15597,81,0,214,206,208,208,639,2
20260131,300152,ST新动力,2,211,144,3,186728,39325356,385,262,-15597,81,0,214,206,208,208,639,2
20260201,300152,ST新动力,2,211,144,3,186728,39325356,385,262,-15597,81,0,214,206,208,208,639,2
20260201,300152,ST新动力,2,211,144,3,186728,39325356,385,262,-15597,81,0,214,206,208,208,639,2
20260201,300152,ST新动力,2,211,144,3,186728,39325356,385,262,-15597,81,0,214,206,208,208,639,2
20260201,300152,ST新动力,2,211,144,3,186728,39325356,385,262,-15597,81,0,214,206,208,208,639,2
