date,f12,f14,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f15,f16,f17,f18,f23,f152
20260131,000001,平安银行,2,1083,-119,-13,1091755,1191181198.25,182,56,411,85,0,1103,1083,1094,1096,47,2
20260131,000002,万  科Ａ,2,488,-487,-25,3740525,1853094644.48,370,385,-156,118,0,507,488,506,513,33,2
20260131,000004,*ST国华,2,1262,499,60,55253,67441847.3,782,438,-4625,86,0,1262,1168,1200,1202,4522,2
20260131,000006,深振业Ａ,2,896,-132,-12,380401,337063915.65,584,282,-129654,110,0,913,860,901,908,224,2
20260131,000007,全新好,2,1088,149,16,72764,78957269.5,401,210,82711,79,0,1105,1062,1067,1072,2063,2
20260131,000008,神州高铁,2,310,-313,-10,748408,233975939.99,438,276,-7240,106,0,321,307,317,320,287,2
20260131,000009,中国宝安,2,961,-428,-43,622929,604658566.58,478,242,6563,113,0,1000,952,995,1004,246,2
20260131,000010,美丽生态,2,341,-87,-3,142384,48466746.98,233,168,-9216,80,0,345,337,342,344,1201,2
20260131,000011,深物业A,2,890,-231,-21,97277,86833893,373,185,12346,120,0,911,877,905,911,156,2
20260131,000012,南  玻Ａ,2,465,-127,-6,224317,103920371.68,318,114,7121,74,0,472,457,468,471,108,2
20260131,000014,沙河股份,2,1299,-122,-16,67380,87370262.8,350,278,-7318,67,0,1324,1278,1311,1315,198,2
20260131,000016,深康佳Ａ,2,498,-60,-3,262346,130754261.36,120,164,-916,92,0,502,496,499,501,947,2
20260131,000017,深中华A,2,754,-468,-37,413833,311793474,531,939,12598,85,0,774,732,766,791,1388,2
20260131,000019,深粮控股,2,739,193,14,327328,243043001.73,579,786,2623,249,0,758,716,725,725,171,2
20260131,000020,深华发Ａ,2,1492,226,33,161426,246939347.32,1131,891,14899,435,0,1605,1440,1450,1459,994,2
20260131,000021,深科技,2,3249,450,140,1735602,5566794832.26,868,1104,5068,131,0,3338,3068,3109,3109,401,2
20260131,000025,特  力Ａ,2,1801,-390,-73,170563,308668859.15,432,434,4711,85,0,1859,1778,1841,1874,430,2
20260131,000026,飞亚达,2,1586,-56,-9,41415,65452991,238,114,3861,51,0,1598,1560,1595,1595,191,2
20260131,000027,深圳能源,2,680,-29,-2,270622,183011142.3,279,57,1235,94,0,685,666,681,682,99,2
20260131,000028,国药一致,2,2606,-118,-31,59475,155766656.6,216,124,1137,54,0,2655,2598,2620,2637,79,2
20260131,000029,深深房Ａ,2,2208,50,11,239074,528106983.86,660,268,11544,348,0,2277,2132,2200,2197,610,2
20260131,000030,富奥股份,2,548,-36,-2,203685,111450928.16,309,122,1607,130,0,555,538,551,550,116,2
20260131,000031,大悦城,2,391,483,18,2334003,935411914.09,885,545,-2358,368,0,410,377,379,373,165,2
20260131,000032,深桑达Ａ,2,2081,-280,-60,324670,680223865.41,509,285,-6347,95,0,2166,2057,2137,2141,346,2
20260131,000034,神州数码,2,3804,-206,-80,170835,653654615.31,384,282,3080,76,0,3920,3771,3860,3884,248,2
20260131,000035,中国天楹,2,611,-113,-7,319785,194045487,405,138,3492,84,0,621,596,616,618,133,2
20260131,000036,华联控股,2,595,-262,-16,729180,431332986.73,589,520,17556,61,0,614,578,605,611,164,2
20260131,000037,深南电A,2,928,220,20,177182,163916731.74,308,523,-21036,73,0,936,908,909,908,380,2
20260131,000039,中集集团,2,966,52,5,555543,531850978.36,395,241,2495,135,0,975,937,964,961,107,2
20260131,000042,中洲控股,2,837,195,16,101425,84844225,305,153,6785,89,0,845,820,821,821,169,2
20260131,000045,深纺织Ａ,2,1265,16,2,93147,116936365,301,204,8084,54,0,1270,1232,1260,1263,215,2
20260131,000048,京基智农,2,1823,-55,-10,198254,356646253.96,496,377,2434,77,0,1850,1759,1796,1833,229,2
20260131,000049,德赛电池,2,2605,93,24,60553,155970222.96,291,157,3331,71,0,2609,2534,2580,2581,150,2
20260131,000050,深天马Ａ,2,970,-415,-42,688643,669977485.94,711,280,5710,155,0,1022,950,1006,1012,87,2
20260131,000055,方大集团,2,425,-93,-4,139738,59312176.01,280,207,21541,129,0,430,418,429,429,75,2
20260131,000056,皇庭国际,2,201,-50,-1,350480,70422150,198,388,-73,120,0,203,199,202,202,-114,2
20260131,000058,深 赛 格,2,902,-153,-14,140626,127553447.73,295,143,8967,82,0,923,896,916,916,533,2
20260131,000059,华锦股份,2,606,-33,-2,418584,252144501.26,477,262,-522,63,0,618,589,604,608,96,2
20260131,000060,中金岭南,2,770,-994,-85,3540050,2764382309.31,468,797,3050,76,0,810,770,802,855,180,2
20260131,000061,农 产 品,2,969,243,23,457485,455635529.41,920,270,5467,243,0,1025,938,940,946,229,2
20260131,000062,深圳华强,2,2619,455,114,389028,1013481167.73,471,372,5690,281,0,2650,2532,2550,2505,411,2
20260131,000063,中兴通讯,2,3849,-258,-102,1036489,4009946892.67,230,257,2595,89,0,3918,3827,3900,3951,246,2
20260131,000065,北方国际,2,1262,32,4,226984,286907962.42,390,233,2092,82,0,1289,1240,1264,1258,121,2
20260131,000066,中国长城,2,1587,-335,-55,1546220,2467308956.39,390,479,238973,53,0,1633,1569,1620,1642,461,2
20260131,000068,华控赛格,2,349,58,2,115926,40353834,231,115,-2633,70,0,352,344,346,347,578,2
20260131,000069,华侨城Ａ,2,274,-318,-9,1009190,278645659.44,424,146,-378,108,0,283,271,281,283,48,2
20260131,000070,特发信息,2,1190,512,58,877418,1027390349.77,1016,987,100494,153,0,1215,1100,1114,1132,711,2
20260131,000078,海王生物,2,369,-289,-11,1607199,603435378.39,632,612,28330,53,0,390,366,380,380,533,2
20260131,000088,盐 田 港,2,458,-65,-3,323850,148182723.04,195,102,1668,87,0,462,453,460,461,135,2
20260131,000089,深圳机场,2,724,0,0,158025,114279538,152,77,2379,81,0,729,718,722,724,128,2
20260131,000090,天健集团,2,387,-252,-10,352522,136978238.72,327,189,26943,108,0,396,383,393,397,64,2
20260131,000096,广聚能源,2,1139,-273,-32,280415,328989683.08,709,549,14705,211,0,1218,1135,1171,1171,215,2
20260131,000099,中信海直,2,1982,-80,-16,122278,243461363.12,195,158,4714,77,0,2017,1978,1997,1998,281,2
20260131,000100,TCL科技,2,485,-182,-9,6754906,3242953152.81,587,373,2483,100,0,496,467,492,494,166,2
20260131,000151,中成股份,2,1340,37,5,67769,90495767.3,232,220,-11949,65,0,1350,1319,1330,1335,1358,2
20260131,000153,丰原药业,2,658,61,4,78776,51594723.46,199,172,2287,94,0,661,648,651,654,145,2
20260131,000155,川能动力,2,1243,-717,-96,721330,907773036.28,695,391,4953,100,0,1317,1224,1310,1339,222,2
20260131,000156,华数传媒,2,871,-57,-5,283105,246712837.48,285,167,3468,83,0,884,859,870,876,108,2
20260131,000157,中联重科,2,877,-11,-1,740352,648575434.14,353,105,1451,59,0,891,860,876,878,134,2
20260131,000158,常山北明,2,2004,-147,-30,291062,585567282.49,187,183,-15466,79,0,2038,2000,2025,2034,614,2
20260131,000159,国际实业,2,703,-28,-2,358880,250949822.14,553,747,12603,64,0,720,681,702,705,166,2
20260131,000166,申万宏源,2,507,-193,-10,1459341,744680514.5,174,65,1188,92,0,516,507,514,517,115,2
20260131,000301,东方盛虹,2,1322,304,39,561836,728420379.09,624,85,51855,90,0,1329,1249,1268,1283,261,2
20260131,000333,美的集团,2,7759,-37,-29,532508,4168550768.06,205,78,1167,110,0,7900,7740,7760,7788,267,2
20260131,000338,潍柴动力,2,2374,220,51,1189385,2784211047.99,486,238,1748,64,0,2392,2279,2307,2323,220,2
20260131,000400,许继电气,2,2983,-178,-54,363986,1078619997.99,563,360,2528,77,0,3060,2889,3026,3037,257,2
20260131,000401,金隅冀东,2,499,0,0,214521,106649123.8,200,82,24652,106,0,502,492,498,499,49,2
20260131,000402,金 融 街,2,283,-308,-9,451635,128511975.36,377,151,-470,110,0,291,280,290,292,36,2
20260131,000403,派林生物,2,1369,-123,-17,74443,102515269.51,195,79,2732,57,0,1394,1367,1384,1386,162,2
20260131,000404,长虹华意,2,701,-28,-2,132465,93480001.72,199,191,963,145,0,711,697,703,703,115,2
20260131,000407,胜利股份,2,529,-520,-29,1086695,577326086,735,1241,2908,68,0,555,514,548,558,153,2
20260131,000408,藏格矿业,2,8630,-549,-501,285721,2463024321.94,733,182,3695,125,0,8949,8280,8900,9131,897,2
20260131,000409,云鼎科技,2,1171,-225,-27,170835,201813793.2,326,291,11752,81,0,1210,1171,1191,1198,505,2
20260131,000410,沈阳机床,2,758,-282,-22,414023,315541956.68,385,246,1314870,69,0,782,752,777,780,340,2
20260131,000411,英特集团,2,1249,-257,-33,109199,137356202.77,296,297,1641,66,0,1280,1242,1278,1282,139,2
20260131,000415,渤海租赁,2,445,-263,-12,880327,391402183.9,438,163,-1504,79,0,457,437,454,457,95,2
20260131,000417,合百集团,2,806,-98,-8,275958,222377294.83,270,354,2737,62,0,820,798,812,814,134,2
